,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
168,great product great pricesord lot search youtub last order itus day write review itreview   best wireless ear headphon great brand valu find con sound qualiti  bass  everyth great compactbatteri pack awesom standbi usag use  dayslook great  stylish pain ear   must buythank youread,5,0.392,0.052,0.556,Happy,281,42
169,good wish master polit help natureread,5,0.735,0.0,0.265,Happy,38,6
170,averag product good enough price rangepro   excel bass  excel  excel batteri  excel ear cushion decent build qualiti good volumecon   mic useless place bad posit cannot catch voic mouth pick unwant surround nois make pathet person talk understand anyth say click sound happen play bluetooth especi voluread,3,0.318,0.099,0.583,Unhappy,306,46
171,good product qualiti music good bass well total best product best product batteri backup good got  rupe offer side head phone packet dustedread,4,0.53,0.0,0.47,Unhappy,143,23
172,write review almost year purchas headphon  excel budget headphon howev extra bass advertis sound qualiti low price  bought headphon bbd sale realli good  wireless connect also good along good batteri backup headphon grip headphon head realli good even sudden head movement enjoy music rhythmic bob head headread,5,0.297,0.035,0.668,Happy,311,47
173,receiv  day open box put head  know happen nextout surpris sound qualiti good sound qualiti feel like watch movi theatr know headphon perform much better glad get realli headphon prove taglin boat plug nirvanathank boat  flipkartread,5,0.261,0.0,0.739,Happy,233,36
174,bought big billion sale rs headphon work far good bass much mention advertisedbut consid price good feel vibrant bass bass boost song amplifi system bass everi song comfort good user new ear headphon feel pain usag normal bass come true headphon stick ear tight headphon read,5,0.327,0.054,0.619,Happy,275,46
175, materi  nice  design  color  batteri back also  bass  good bass boost song  tight ear take everi  min  bass  littl high priceread,3,0.318,0.0,0.682,Unhappy,130,21
176,everyth thing good connect bluetooth make voic call hear perfect voic make low audibl opposit caller think mic work wellread,4,0.257,0.082,0.661,Unhappy,124,20
177,ok give detail review boat rocker   review  pros  light weight similar carri  page notebook sound qualiti best level especi bass simpli superbnois cancel top travel local train often sat near window seat use headphon one day total amaz nois cancel unabl hear littl bit sound run traindual work mode thread,5,0.143,0.07,0.787,Happy,305,50
178,sound qualiti superb bass lover like given price tag one cannot ask anyth better reason give one star less use bluetooth mode microphon work mild disappointmentread,4,0.299,0.069,0.632,Unhappy,164,26
179,bass good like digit return impress flipkart refund  hour money deposit bank account polici impress flipkartread,1,0.483,0.0,0.517,Unhappy,112,16
180,overal good headphon great build qualiti start littl bit uncomfort ear comfort nice headphon go withread,4,0.506,0.0,0.494,Unhappy,104,16
181,awesom productawesom bass  recommend everyon buy bass good batteri backup awesom final sound clearread,5,0.31,0.0,0.69,Happy,102,14
182,headphon much tight earboat think ear made real rocksbut nohuman use headphonesound qualiti good comfort okokbatteri also okokbut price good dealso booght itread,5,0.293,0.0,0.707,Happy,161,23
183,price rang product  sound qualiti good crystal  clear bass also deep product durabl batteri life also good shipment hd taken time approxim  day get cool product mind settl thank boat creation thank flipkart good servic read,5,0.425,0.0,0.575,Happy,223,36
184,review product followingsound qualityit good sound qualiti great bass even maximum volum headphon start vibrat ear vibrat due good bass effect sweet tone supress fan sweet clear music product littl disapoint ar fan rock jazz ang high bass music great younois cancellationwel nois cancel good listner onlyread,5,0.442,0.029,0.529,Happy,308,47
185,amaz sound super bassbatteri life excel aux cabl great qualiti excel trebl base everyth good except design ear pain use  hour continu otherwis great buy got offer ,4,0.474,0.074,0.451,Unhappy,163,27
186,issu bluetooth rang support upto  fit call  fit song get voic breakmic good callingus music n enjoy nice sound qualiti baseread,3,0.542,0.0,0.458,Unhappy,127,21
187,rate product accord price got price  price  ths best avail bluetooth headphon tha marketi use  month still batteri backup like   hour full volum audio qualiti awesom price rang descent low mid perfect equalis high yes perfect fit uncomfortablenessread,5,0.368,0.04,0.592,Happy,251,38
188,awesom product guy go believ bass awesom fab mind blow would also like thank flipkart awesom deliveryread,5,0.364,0.0,0.636,Happy,105,17
189,perform good sound qualiti batteri charg time qualiti materi good except littl tight ear due whichcannot wear  mindu sold itso everi one differ size headbut except problem goodread,3,0.173,0.081,0.746,Unhappy,180,28
190,awesom product guy go believ bass awesom fab mind blow would also like thank flipkart awesom deliveryread,5,0.364,0.0,0.636,Happy,105,17
191,perform good sound qualiti batteri charg time qualiti materi good except littl tight ear due whichcannot wear  mindu sold itso everi one differ size headbut except problem goodread,3,0.173,0.081,0.746,Unhappy,180,28
192,deliv day promis flipkart big up servic come product music produc use audio gear compani like jbl skullcandi sennheis etc noth match boat balanc trebl bass headphon perfect last  charg strong durabl one downsid could find comfort aftr wear around hour ear start pain although take break read,5,0.206,0.057,0.738,Happy,291,48
193,amaz product guy enjoy  month sinc brought still sound qualiti remain superb great custom support deliv door step servicesread,5,0.485,0.0,0.515,Happy,126,19
194,love headphon awesom base awesom sound qualityi buy headphon octob  use  month review price order itom pretti satisfi till give  starread,5,0.174,0.0,0.826,Happy,137,21
195,paid complet satisfi batteri backup  whole anoth level great headphon great batteri backup oh bass superb love aux cableread,4,0.524,0.0,0.476,Unhappy,124,19
196,one best product ever use realli want say must buy enjoy everyon beauti product ever use headphon compar product one thing want say love itread,5,0.415,0.0,0.585,Happy,143,25
197,bass amaz feel like listen long time pain ear start feel use   afterward ear feel pain anyway awesom product clear voic phone call also clearread,4,0.156,0.202,0.642,Unhappy,145,25
198,first review flipkart first purchas boat rockerz  wireless headphon want decent  surround home theater feel excel clear crisp beat around mood listen good music think twice obvious pick product stock end glad product within price rang issu product minor settl within day usag alsoread,5,0.247,0.0,0.753,Happy,284,44
199,best headphon ever use lightweight nice build qualiti superb bass loud time best part nois cancel featur ice cake love product muchread,5,0.52,0.053,0.427,Happy,135,22
200,nice product super sound qualiti battri backup awesom work  hr one time charg bluetooth connect rang good overal nice product call work properlyread,4,0.395,0.0,0.605,Unhappy,148,23
201,good base clear audio look attract stylish good product price rang batteri life also excel mic great conversationread,5,0.6,0.0,0.4,Happy,117,18
202,great headphon nice sound qualiti bass conveni carri perfect snuggl fit around earsgot great bargain  flipkart saleread,5,0.633,0.0,0.367,Happy,119,17
203,excel product high qualiti sound clariti crisp high bassperfect rang wirelessbett jbl moto etcfit well n superb n soft cushionread,5,0.38,0.0,0.62,Happy,130,20
204,awesom got  flipkar  sale good bass sound qualiti better skull candi jbl price rangeand bluetooth connect awesom upto  rang without obstacl good batteri backup upto read,5,0.274,0.0,0.726,Happy,169,26
205,got headphon  price rang headphon sound pretti awesom  base sound abl differenti higher end headphon best part base produc amazingread,5,0.181,0.0,0.819,Happy,134,20
206,around sound build qualiti good except bluetooth connectivityth connect poorit take much time connectand take headphon differ roomleav devic behind bluetooth connect go lostbut room connect work proper read,1,0.094,0.0,0.906,Unhappy,206,29
207,initi think return flipkart approv felt keep itanywaypro sound good bit bass vocal clear  alway depend music video file media playerex flac  audio file poweramp player  hd video dolbi atom batteri last   charg full  hrscon feel tight get use  micthat  monthsif anyth happen postread,5,0.116,0.0,0.884,Happy,282,44
208,nice head phone red n black combin look good sound qualiti nice  impress bass good call purpos poor mic person opposit side cannot hear voic proper good batteri backup headphon tight ear difficult use longer timeread,4,0.345,0.112,0.542,Unhappy,216,36
209,nice product high bass qualiti headphon ear damag heat problem long use charg  hr give long backup ie near  hrspleas avoid charg good batteri backup nice good productif peopl want enjoy music word choos oneveri best productread,5,0.379,0.092,0.528,Happy,227,37
210,pros    good sound qualitynot much better local simpl earphon    nice connectivityutna bhi nahicon    ear pain use  around  minneed soft materi speaker soft part read,1,0.27,0.103,0.627,Unhappy,166,24
211,good product good conect good sound good batteri backup use three day problem reagard fit pain wear fifteen minut  think everi rather go ear ear headphon trust headphon comfortableread,3,0.392,0.135,0.473,Unhappy,184,29
212,thank flipkart good packag safe deliveri headphon awesom say spec mention everyth fantast  except comfort listen   hour nice   overal nice choic listen  profession also expect price rang   awesom price go  sure love thisread,5,0.478,0.0,0.522,Happy,224,33
213,product good  vocal clariti good  price rang goodread,1,0.492,0.0,0.508,Unhappy,53,8
214,first would like appreci deliveri time within day got product deliv result product good expect though found product avail lower price websit prefer flipkart trust flipkart deliv duplic refurbish product thank flipkartread,4,0.277,0.054,0.668,Unhappy,221,32
215,amaz sound excel charg pickup good model  thank flipkart read,5,0.545,0.0,0.455,Happy,61,10
216,receiv quick deliveri flipkart headphon light weight foldabl make easi carri sound qualiti decent bluetooth connect good neget aspect devic call qualiti terribl hear person microphon devic poor audibl end definit support handsfre call tri use cabl call improv much isread,3,0.12,0.066,0.814,Unhappy,271,41
217,love product muchi like bassand beat love thnx boat flipkartread,5,0.609,0.0,0.391,Happy,64,10
218,best boom headset ever price rang great sound qualiti  dual mode wire wireless us awesomeread,5,0.39,0.0,0.61,Happy,93,15
219,excel bass great sound easi connect solid design littl bit uncomfort got good qualiti long aux  charg cabk got  must buy price also boat great serviceread,5,0.428,0.0,0.572,Happy,154,26
220, month bought honest reviewmateri qualiti pretti good mic good talk phoneon easili hear song r play anyon nearbi youread,4,0.451,0.0,0.549,Unhappy,120,19
221,honest product great good sound qualiti light durabl bodi reason price batteri back good featur great quit tight painful ear use long hour day get use opinion best product anyon get price excel qualiti give tri thank boat read,5,0.451,0.048,0.501,Happy,226,39
222,say use product  day bit tight like cannotinfact use  min fit good design awesom  sound qualiti fabul bass also good strong recommend product like listen music goread,5,0.488,0.0,0.512,Happy,166,27
223,get better output aux cabl bluetooth mode honor  lite use redmi note  output bluetooth better auxread,4,0.409,0.0,0.591,Unhappy,101,16
224,pack boat headset awesom qualiti like beastflipkart make good progress pack qualiti checkingbass fabulousand comfort use itthank deliv boat headset super speedthi headset order  came hand keep flipkart faster deliveryread,5,0.426,0.0,0.574,Happy,221,30
225,superb bass price rang suitabl laptop nice pubg voic also clearread,5,0.434,0.0,0.566,Happy,67,11
226,headphon awesom  may feel inconveni headphon tight  may uncomfort upto day come sound qualiti good bass awesom  listen use wire bass high compar bluetooth slip head even runningfin good product give  rate itread,5,0.158,0.0,0.842,Happy,211,33
227,sound qualiti bass amaz headphin clear high mid amaz impress premium look matt black finish thin red line amaz thing headphon valu moneyread,5,0.208,0.0,0.792,Happy,140,23
228, day experi good headphon awesom qualiti sound biggest thing also connect wire best featur satisfi base  star give  starread,4,0.295,0.0,0.705,Unhappy,124,19
229,thank much flipkart excel product budget ok thank much flipkart  super bass sound qualiti excel tqread,5,0.631,0.0,0.369,Happy,102,16
230,pros batteri last long day bass good price attach cabl batteri dead connect fast bluetoothcon wear minimum  minut ear   hurt sometim give connect problem sometim hear littl beep sound connect bluetooth audio qualiti good bass lover liter cannot hear vocal sometimesread,3,0.175,0.189,0.636,Unhappy,269,41
231,batteri backup ashvatthama deni die  straightaway  hour travel could end charg  work pretti well control great  easi respons true wireless freedom  satisfi read,5,0.376,0.111,0.513,Happy,160,23
232,batteri backup awesom design good work well distanc  connect easili easi use wellread,5,0.312,0.0,0.688,Happy,85,13
233,sound qualiti awesom  bass unbeliev compar also pretti look give  star excess bass littl uncomfort design continu use  hour becom littl uncomfort   nois cancel  quiet good price segment     keen lover listen song better chois read,4,0.274,0.045,0.68,Unhappy,230,35
234,worth money headphon peopl metal ear pain long use  cushion soft arramg soft bluetooth rang expect much suitabl bluetooth callinga small dot sound audibl use low volum whenev notif come phone dot sound produc  better use aux cableread,4,0.109,0.122,0.769,Unhappy,234,38
235,best one thereon cool featur cabl connect option handi devic run batteryth voic guidanc anoth cool thisguy blind go got everyth need worth everi penni paid forth sound also best class spend hour sure find better  price rangeread,5,0.381,0.051,0.568,Happy,228,38
236,nice one write review use  month get problem till date headphon definit recommend everyon buy  bought cheaper price  thorough flipkart itselfnic sound nice bass nice bluetooth rang kept line line headphon nice look nice batteri backup definit use contineusli least  hour best part get aux cabl support tooread,5,0.359,0.041,0.599,Happy,309,48
237,satisfi headphon qualityto tell actual headphon base centric mid high lack bit regular listen silent bollywood song choic edm lover sure purchas best thatcomfort foam earpiec soft ear bit larger may hurt wear thse  hr rest issu rang pretti goodtil  feet seem less experi  bit loss sounread,5,0.174,0.131,0.694,Happy,289,47
238,product good bass sound clariti superb call answer option wirelessth best one got boat look wirless headset long timebut prize  bit higher timeso wait offer period luckili got best buy  almost mi second purchas boat keep qualiti maintain timei satisfi purchaserecommend everyon look read,5,0.324,0.0,0.676,Happy,287,44
239,fabol product got watch mani review youtub product final purchas  inrand got superlight weight accessori deliev crisp clear sound perfect bass balanc also wireless conect aux cabl fullfil condit batteru backup mention box ie  hour  go blind instead buy jbl moto pulsepuls max read,5,0.126,0.054,0.82,Happy,280,44
240,great headset fantast bass wireless capabl good batteri backup simpli superb use call pleas avoid inbuilt mic bad expect comfort definit make ear pain get much price problrm might serious overal great headphoneread,4,0.34,0.198,0.462,Unhappy,214,33
241,awesom bass awesom sound comfort ear problem bluetooth connect weaken frequent get jump lyric sec listen song avoid got irrit occur coupl number time ohh batteri last long enough return product might manufactur defect order boat wireless   let us see one goesread,4,0.076,0.202,0.721,Unhappy,263,42
242,hi guy recent brought headphon use headphon decent price rang got  buck optim sound achiev equil pair fair easi batteri also decent ear puff comfort littl bigger softer puff would great build qualiti also fair decent issu face microphon other abl hear properread,3,0.223,0.0,0.777,Unhappy,262,43
243,want got inr  serious love product boat team done except well thump provid stellio along bass one listen high recommend product kudo team boatrep reviewdeduct  star pain caus ear type headach listen  minsguy need work structur comfort  headphoneshop get ruderead,3,0.251,0.092,0.657,Unhappy,262,40
244,awesom high recommend one use jbl soni one far better cannot find better wireless headphon  bass sound clariti awesom amaz play wireread,5,0.373,0.0,0.627,Happy,136,22
245,accord price good product sound qualiti realli amaz sound depend cell phone sound use gione give good soungd deep bassbut rang bluetooth bad work less  meter distanceread,4,0.174,0.105,0.721,Unhappy,170,27
246,light fit perfect tight head good bass audiophil  thumb  day deliveri form purchas day sound superb great bass coz  notebluetooth work good batteri backup also good easili play movi music upto  hour take  hour chargethank flipkartread,5,0.477,0.0,0.523,Happy,234,36
247,headphon awesom bass crystal clear music batteri backup  hour  say confirm best headphon  headphon bass beat also small sound clear   envent headphon acoust hear music deep headphon best rap  song listenersread,5,0.335,0.0,0.665,Happy,210,31
248,purchas headphon around  rs freedom sale flipkart thank super fast deliveri alway bluetooth headset  great soundbass great ok import batteri life awesom bluetooth headset batteri life alway concern perfectin term batteryand also one good thing receiv call well also get aux cabl case want use mobil  read,5,0.418,0.0,0.582,Happy,304,47
249,item sound good refund option avail  plz go item tot wastag timeread,1,0.296,0.0,0.704,Unhappy,68,12
250,headphon absolut garbag use month alreadi one side stop work  disappointedread,2,0.0,0.18,0.82,Unhappy,78,11
251,nice headphon thing bassbatteri etc good nice condit cameread,5,0.586,0.0,0.414,Happy,61,9
252,disappoint sound qualiti deliv good bass batteri backup good honestalso good comfort cushion earsif interest sound qualiti better look jbl sonyread,3,0.506,0.08,0.414,Unhappy,147,21
253,sound clariti good bass super extrdinari build qualiti nice super product like itread,4,0.667,0.0,0.333,Unhappy,85,13
254,excel product good sound pricegood qualiti nice productit light watei like headsetit work full work jack bluetooth talk headphon power speakerread,5,0.397,0.0,0.603,Happy,146,21
255,write review use one weeki happili say headphon awesomesound pretti goodbass design also goodand import thing perfect tight earsthi much worthi product price rangei got  salebut price enough buy productbeliev go never regret rangeread,5,0.159,0.0,0.841,Happy,234,34
256,look design simpli awesom headphon day receiv item glad use feel sound flicker hang increas great extentand rang connect decent got either disconnect hang  meter rang roomunfortun cannot return product get refund want replac thison thing opportun take decis go mread,3,0.181,0.0,0.819,Unhappy,266,41
257,one best headset price rang  thing like capabl wire connect batteri charg use cabl provid believ sound qualiti better wire connect compar bluetooth would definit recommend buy  one best rangeread,4,0.395,0.0,0.605,Unhappy,195,30
258,nice design good product sound nice wire wireless aux connect dell laptopread,4,0.486,0.0,0.514,Unhappy,77,12
259,almost nice good productwith nice audio clearanc sound qualiti bass power batteri backupread,4,0.433,0.0,0.567,Unhappy,92,13
260,nice design good product sound nice wire wireless aux connect dell laptopread,4,0.486,0.0,0.514,Unhappy,77,12
261,almost nice good productwith nice audio clearanc sound qualiti bass power batteri backupread,4,0.433,0.0,0.567,Unhappy,92,13
262,like ear headset buy boat rocker  best headset love read,4,0.609,0.0,0.391,Unhappy,56,10
263,first china productand button delic connect smart tv voic clear  sometim cannot hear  sidebut also excel bass beginingand think origin boat headphonesread,5,0.304,0.0,0.696,Happy,154,22
264,nice satisfi product sound qualiti time superb support bass till listenread,5,0.545,0.0,0.455,Happy,75,11
265,awesom qualiti headset nois cancel bass good best listen music build qualiti good littl big good got   write review  week valu moneyread,5,0.404,0.063,0.533,Happy,136,22
266,nice product batteri backup nice sound awesom bass superbread,5,0.444,0.0,0.556,Happy,61,9
267,got son onlin school find help farproslook goodsound qualiti goodfit well  heatconsspeakerm clear time voic breakingcontinu usag caus ear pain  discomfort take break volum control button work wellread,4,0.203,0.167,0.63,Unhappy,200,28
268,fast good pros good sound qualiti good bass  good batteri life con microphon good  wire one may posit sometim voic audibl receiv end otherwis excel product worth moneyread,4,0.48,0.0,0.52,Unhappy,171,28
269,product good deliveri  nice best suggest  order flipkart  take time deliv product box open receiv  itread,5,0.432,0.0,0.568,Happy,105,16
270,experi headphon good speaker qualiti good base bluetooth connect paus play music creat distort beep sound play music microphon qualiti headset got bad person cannot hear proper phone call hear distort sound place overal mic qualiti bad design great feel classi headread,4,0.248,0.196,0.556,Unhappy,269,42
271,purchas product good deal excel audio thump bass great batteryamaz product would suggest everyon buy awesom headphoneread,5,0.417,0.0,0.583,Happy,121,17
272,bought one half year still work good problem thatnic product boatbass goodbut plastic qualiti improverec broke problem speaker awesom product must improv plastic qualitypack good thank flipkartread,5,0.221,0.219,0.56,Happy,197,27
273,product realli good product price rang use last one week think give  hour batteri backup base good overal sound good talk design look excel white  green combin product look realli premium one anoth good thing foldabl make easi carri overal product realli good product price rangeread,5,0.304,0.0,0.696,Happy,283,46
274,use  day found nice product buy good sound good bluetooth rang usb cabl also given overal good product buy averag price rangeread,5,0.39,0.0,0.61,Happy,129,22
275,okay first thing good qualiti use week issu far sound qualiti awesom like theatr also batteri backup good use   hrs straight connect issu problem fit tight hurt hear due prolong usag possibl give  rate recommend guy go black one becoz cloth like textur hread,4,0.328,0.102,0.57,Unhappy,258,44
276,love product nd thank much flipkart chip price boat rockerz  bluetooth headset nd bass ifect awsm nd sound also goodread,5,0.271,0.0,0.729,Happy,120,20
277,boat rockerz headset realli awsom  sound qualiti bas everyth  nd flipcart servic also awesom amravati guy come deliveri good guy deliverd deliveri timeread,4,0.116,0.0,0.884,Unhappy,155,23
278,sound qualiti jabardast call bcz like dj sound call  music purpos good like djbateri like  hour super bateri life read,5,0.488,0.0,0.512,Happy,118,20
279,realli like sound like design like batteri backup good product wastag moneyread,5,0.565,0.0,0.435,Happy,79,12
280, high ultra deep base sound feel like  good batteri backup standbi upto   good sound  light weight like  gram  cool design easili foldabl carri outread,4,0.408,0.0,0.592,Unhappy,151,24
281,nice product cool total save desgin headphon sound qualiti perfect comfort fold box total price compers much better productread,5,0.572,0.0,0.428,Happy,127,19
282,boat rockerz  sound qualiti  perfect bass awesom batteri life good see  desgin headset good comfort start use  ear start sweat feel uncomfort lock ear tight loosen fit ear start slip overal good product low cost boat tought design first read,3,0.331,0.04,0.629,Unhappy,241,40
283,nice headphon excel sound qualiti easi toggl comfort well worth price would sayread,5,0.606,0.0,0.394,Happy,83,13
284,bass sound aswsom face issu sound bass awesom feel like djparti best woofer bass mindblow comfort level lottl low boat make headphon oval shape circl ypu eye start pa within  min  use month mayb get loosebut boat make shape littl oval style perfect fir ear asread,5,0.23,0.037,0.732,Happy,263,46
285,although best market worth everi penni inr  buy cool headphon must buy one best sell product flipkart yes forgot  free cabl plz like reviewread,5,0.583,0.0,0.417,Happy,143,24
286,everyth nice headphon  design qualiti like premium  seem littl tight howev good product priceworthi one must buy price  rsread,5,0.339,0.0,0.661,Happy,126,19
287,awesom use headphon last  month worth everi penni problem cannot wear long use otherwis  best spend time listen  love itread,4,0.355,0.093,0.552,Unhappy,124,20
288,best sound  qualiti   perfect bass  build qualiti good  aux cabl defect led  light good read,5,0.525,0.092,0.383,Happy,92,15
289,good product afford price smooth sound music  bass moder feel good listenread,5,0.367,0.0,0.633,Happy,77,12
290,headphon good work reduc sound song given return back  correct right make sound song  notread,5,0.172,0.0,0.828,Happy,93,15
291,product awesom  design perfect everyth ok audio cabl long  brand usb cabl  feel like heaven read,5,0.494,0.0,0.506,Happy,96,16
292,headphon love much upto nowit everyth want clear loud sound high connect bluetooth tri phone laptop seem perfect devicesth red colour varient classic design feel standard get one aux cabl also allow us use wire also instead bluetoothyou use aux cabl charg lowth main factor ie batteri long backup upto  hour surpris product aread,5,0.219,0.0,0.781,Happy,329,54
293,good headphon afford pricebut  poor bluetooth connect mean hard  meter averag batteri life charg everi  hour usageotherwis good headphon price rangereview written  month regular usag reli thisalso deliveri servic flipkart awesom deliv product befor timeread,3,0.14,0.109,0.751,Unhappy,257,35
294,good design sound qualiti batteri backup pain free ear headphon consrang good enough hard  feet also go behind half wall dropscannot connect multipl devic laptop  phone like othersread,4,0.303,0.123,0.574,Unhappy,184,28
295,amaz product sound bass awesom  batteri backup great  go without hesit  love headset  use  month tnx flipkart read,5,0.252,0.137,0.611,Happy,114,18
296,nice product  strong  light weight  also fit  yrs son class  enjoy onlin classesread,4,0.567,0.0,0.433,Unhappy,84,13
297,sure feedback valuableth boat compani reach give feedback make senseso great sound much clear call decent import littl softer grip skull tightread,4,0.359,0.0,0.641,Unhappy,146,22
298,awesom bass sound qualiti good batteri long life purchas rs realli grate product forget likeread,5,0.163,0.107,0.73,Happy,96,15
299,hear lot thing fact sound qualiti realli awesom bass excel look design perfect yaar bass dil chu liya pubg v buht mast kaam kar raha hai latenc time perfect micro second matterbut one thing play pubg set volum moder level otherwis due high bass ear get pain headach sound qualiti lajawaabread,5,0.209,0.054,0.736,Happy,292,51
300,receiv today thank fast deliveri first second time purchas headphon rang headphon like dream read,5,0.368,0.0,0.632,Happy,97,15
301,love headphon amaz super easi use would person recommend muchbut one problem work meet googl meet cath voic especi meet laptopread,4,0.35,0.089,0.561,Unhappy,130,21
302,bought headphon  june  day use far batteri backup superb price segment sound bass crystal clear nois cancel work well small complaint regard design wear hour ear star pain due small ear cap tight build overal good product peopl compris ear painread,4,0.22,0.141,0.639,Unhappy,248,41
303,valu money excel sound qualiti  mic realli good person hear voic low pitch although everi thing perfect fineread,4,0.374,0.082,0.545,Unhappy,112,18
304,headaphon amaz qualiti boat promis give borrow  day back love sound qualitybassvalu money sound clearanc design nd batteri power best compar other brandread,5,0.286,0.0,0.714,Happy,156,23
305,amaz produt price  super sound qualiti bass also soooooo good   produc use bluetooth wire supp productread,5,0.327,0.0,0.673,Happy,106,16
306,bought may  june   complet stop work charg work connect charger audio clear eithernot recommend  buy product rang go earphon rather headphonesread,2,0.202,0.087,0.711,Unhappy,146,21
307,person like boat brand purchas design  sound con  fit  mic work proper comfort ear way overal good product purchas rs  covid lockdownread,3,0.366,0.0,0.634,Unhappy,137,22
308,go nice sound good clariti fastest connectionread,4,0.533,0.0,0.467,Unhappy,49,7
309,genuin repli feedback batteri backup stand expect hard work  half hour most like colour design comfort cushion hard ear hold  minut litter use devic rather would refer buy muve aucost headphon rang way comfort cushion backup  stun detaail musicread,1,0.175,0.063,0.762,Unhappy,248,39
310,awesom built qualiti might purchas offer spent may coupl hundr worth everi penni easili connect via wireless latest devic laptop good rang clariti use rough tough useread,5,0.158,0.05,0.792,Happy,170,27
311,batteri backup okay general give  hrs usag full charg batteri die number time notifi get irrit abl listen anyth except notif batteri lowth microphon perform realli bad seem like talk distanceth ear pad small comfort use  min want use hour good start hurt youth soread,3,0.209,0.182,0.608,Unhappy,267,45
312,mic work proper especi call sound qualiti good bass excel good  buck batteri backup mark final good productread,4,0.455,0.0,0.545,Unhappy,111,18
313,use  yr satisfi product    sound qualiti awsom loud lover bestread,4,0.297,0.0,0.703,Unhappy,66,10
314,sound qualiti way gud review non function side  use aux cabl surpris side work love also support smart tvread,5,0.375,0.0,0.625,Happy,109,19
315,awesom sound bass made plastic okey use good qualiti perfect price iam happyread,5,0.375,0.0,0.625,Happy,80,13
316,stuff realli great price rang write review use weekpro superb bass  realli super extra bass sound qualiti great  great  design awesom great look whether wear keep  aux cabl real help  liter need think much batteri  batteri life awesomecon headband tight make uncomfort use forread,4,0.423,0.0,0.577,Unhappy,280,44
317,product cool sexi looksbut cushn much goodbass isnic qualiti sound grtover nice product read,4,0.298,0.0,0.702,Unhappy,92,14
318,review  week usageit one top qualiti product boat nice sound qualiti  amaz bass although got issu regard connect keep asid awesom productread,4,0.187,0.0,0.813,Unhappy,141,22
319,nice product even pack good even  day deleveri love product thank vri muchread,5,0.579,0.0,0.421,Happy,78,13
320,nice flipkart l love manag thank much gave nice productread,5,0.711,0.0,0.289,Happy,59,10
321,good sound qualiti good product  easi connect bluetooth prefer buy itread,5,0.392,0.0,0.608,Happy,73,11
322,write review  day usageth sound qualiti rich impress along bass make feel music nois cancel also great batteri backup excel although found littl discomfort ear   continu usag headset littl tight overal great headphon consid price rang great job done boat thank flipkartread,5,0.391,0.077,0.531,Happy,273,42
323,earlob hurt even  minut usagebass loud good think one go overtheear model better feel music nois cancel batteri backup dual usag mode especi good devic even mic problem suchbut  high doubt build qualiti suspect last long  definit cannot pack suitcas carri bag lest break safe place neckoveral serv purpos bread,3,0.177,0.196,0.627,Unhappy,310,50
324,nice head phone sound qualiti good batteri back also fine goe con found ear bud small continu use may lead pain earsbuild qualiti also strong nice productiam proud china product made india product,4,0.363,0.072,0.565,Unhappy,196,33
325,worth money month aux cabl got non function sound qualiti like headphon avail footpath market electron product seller train batteri strong backup use upto  day without charg cannot hold  min ear muscler pain play game like pubg connect bluetooth sound effect lag time prosbatteri backupnois cancellationconssound qualitybuilread,3,0.216,0.098,0.686,Unhappy,328,47
326,good qualiti boat  rocker best headphon bass qualiti good  thank filpkartread,5,0.641,0.0,0.359,Happy,77,11
327,good bass sound qualiti good best clariti enjoy wire modebluetooth mode sound qualiti  mode sound qualiti  money ,5,0.504,0.0,0.496,Happy,113,17
328,cannot better product low price love use buy without doubt seen lack till full qualiti well good sound jay hind read,5,0.479,0.076,0.445,Happy,116,21
329,best headphon regular use use till date point know buy   strap get lossen pretti soon  bluetooth good rang good  problem big recommend product everi oneread,5,0.355,0.077,0.568,Happy,156,25
330,use   month bass excellentit like nois cancel headphonesth sound goodbut sometim right one make troubl connect bluetoothbut due wireprovid defectit occur connect bluetoothbut overal nice stylish headset experi music ignor worldread,3,0.15,0.057,0.793,Unhappy,231,31
331,valu moneynic bass  look pretti good price segment realli bass punchi recommend buy mi phone connect aux sound enhancerveryy good productread,4,0.316,0.0,0.684,Unhappy,141,21
332,genuin review sound qualiti nice clear bass averag recommend boat rockerz build qualiti wast broke  monthsmic averag  clearwhen music chang small bit disturb like show best power bass boat rockerz  bestread,1,0.331,0.125,0.544,Unhappy,206,31
333,honest review boat rockerz  product realli awesom buy headphon play gamessong etcit batteri life  hour charg time  hour also extra bass problem soundand realli awesomeread,5,0.187,0.089,0.724,Happy,171,25
334,headset look good sound qualiti also good rangebut within next  minut wear hurt earsin first use frustrat spend time use boat found perfect way wear itoveral good headphonejust learn perfect way adjust earsread,4,0.346,0.073,0.581,Unhappy,210,33
335,excel  sound qualiti good work well must buyread,5,0.615,0.0,0.385,Happy,48,8
336,best bluetooth headset ever use  word describ product love  go love itread,5,0.583,0.0,0.417,Happy,74,12
337,materi qualiti best well sound bass superb lockdown receiv order within  dayread,5,0.536,0.0,0.464,Happy,80,12
338,mic qualiti good headphon realli nice love sound qualiti bass qualiti good nois cancel mic better call experienceread,4,0.529,0.067,0.404,Unhappy,117,18
339,good product price sound qualiti good experienc issu use month whenev watch video sound goe mute rewind video unmut give extra wire headphon along usb design rock well built key okay improv littl bit batteri life good start drain frequent littl long useread,4,0.25,0.0,0.75,Unhappy,257,43
